Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,No of hours,Approximated Social Grade
7902607,E12000007,H,5,1,2,3,1,2,2,2,4,6,8,7,4,-9,,4
7902600,E12000007,H,2,1,2,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7902575,E12000007,H,3,1,2,3,1,2,2,2,1,1,9,9,5,-9,,3
7903440,E12000007,H,2,1,2,1,1,2,1,2,1,1,-9,-9,-9,-9,,-9
7903437,E12000007,H,2,1,2,2,1,1,1,1,1,1,6,-9,-9,-9,,2
7903649,E12000007,H,1,1,2,8,5,2,1,4,1,2,5,8,2,-9,,4
7902583,E12000007,H,2,1,2,1,1,1,1,1,2,2,-9,-9,-9,-9,,-9
7903463,E12000007,H,2,1,2,1,1,1,2,2,1,2,-9,-9,-9,-9,,-9
7903966,E12000007,H,2,1,1,2,1,1,2,1,5,2,4,-9,-9,-9,,2
7904300,E12000007,H,1,1,1,6,1,2,2,4,4,9,9,5,4,-9,,3
7903152,E12000007,H,4,1,1,2,1,1,2,1,4,2,6,-9,-9,-9,,2
7903153,E12000007,H,1,1,2,7,4,2,2,5,4,2,5,9,4,-9,,4
7904717,E12000007,H,-9,3,1,4,2,2,2,2,5,6,9,2,11,-9,,-9
7903232,E12000007,H,2,1,2,1,1,2,1,1,4,2,-9,-9,-9,-9,,-9
7904706,E12000007,H,1,1,2,6,2,2,2,1,3,1,9,-9,-9,-9,,4
7904707,E12000007,H,1,1,1,2,1,1,1,2,3,9,6,-9,-9,-9,,2
7904701,E12000007,H,2,1,2,1,1,2,2,1,1,9,-9,-9,-9,-9,,-9
7901722,E12000007,H,1,1,2,7,5,2,1,2,1,9,5,9,9,-9,,4
7904514,E12000007,H,5,1,2,1,1,1,1,5,1,6,-9,-9,-9,-9,,-9
7902382,E12000007,H,2,1,2,5,2,2,2,5,4,6,9,-9,-9,-9,,4
7903027,E12000007,H,5,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7902471,E12000007,H,2,1,2,3,2,2,2,2,2,2,9,9,8,-9,,3
7903848,E12000007,H,1,1,2,7,1,2,1,1,1,2,5,6,12,-9,,4
7903366,E12000007,H,5,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7904287,E12000007,H,5,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7902652,E12000007,H,4,1,1,2,1,2,1,1,4,2,9,-9,-9,-9,,3
7903686,E12000007,H,5,1,1,3,1,2,1,1,4,2,3,7,4,-9,,3
7902099,E12000007,H,5,1,1,1,1,1,2,1,2,2,-9,-9,-9,-9,,-9
7903420,E12000007,H,5,1,2,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7904399,E12000007,H,5,1,2,2,1,1,1,3,2,1,4,-9,-9,-9,,2
7904638,E12000007,H,3,1,2,2,1,1,1,3,4,6,6,9,8,-9,,2
7903291,E12000007,H,6,1,1,2,1,1,1,1,2,9,6,7,4,-9,,2
7902890,E12000007,H,5,1,2,1,1,1,2,1,1,1,-9,-9,-9,-9,,-9
7903178,E12000007,H,5,1,2,1,1,1,1,2,2,2,-9,-9,-9,-9,,-9
7903206,E12000007,H,5,1,2,1,1,1,1,2,4,1,-9,-9,-9,-9,,-9
7902657,E12000007,H,5,1,2,1,1,2,2,2,4,2,-9,-9,-9,-9,,-9
7904045,E12000007,H,5,1,1,1,1,1,1,1,4,2,-9,-9,-9,-9,,-9
7902913,E12000007,H,5,1,2,4,1,2,1,2,2,6,7,-9,-9,-9,,4
7903666,E12000007,H,5,1,2,2,1,2,1,2,2,1,3,6,12,-9,,4
7904688,E12000007,H,-9,3,1,2,1,1,2,1,3,9,6,-9,-9,-9,,-9
7904199,E12000007,H,3,1,2,1,1,1,2,1,4,2,-9,-9,-9,-9,,-9
7902268,E12000007,H,5,1,2,1,1,1,1,2,2,1,-9,-9,-9,-9,,-9
7903323,E12000007,H,1,1,2,4,4,2,2,1,2,2,8,2,10,-9,,2
7903144,E12000007,H,1,1,2,4,4,2,1,2,4,2,3,7,8,-9,,4
7903427,E12000007,H,-9,3,2,2,1,1,2,1,3,6,6,-9,-9,-9,,-9
7903503,E12000007,H,5,1,2,1,1,2,1,1,4,2,-9,-9,-9,-9,,-9
7903524,E12000007,H,1,1,1,4,1,2,1,3,4,6,8,-9,-9,-9,,4
7904691,E12000007,H,1,1,1,3,1,1,2,2,3,1,6,3,8,-9,,2
7902643,E12000007,H,5,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9,,-9
7904616,E12000007,H,4,1,1,8,5,2,1,4,1,1,5,8,6,-9,,3
7903307,E12000007,H,3,1,1,5,1,2,2,1,3,6,3,2,12,-9,,2
7903438,E12000007,H,1,1,2,7,5,2,2,3,3,6,5,-9,-9,-9,,3
7903289,E12000007,H,5,1,1,2,1,1,1,1,4,1,6,7,4,-9,,2
7898865,E12000007,H,2,1,1,2,1,2,1,1,1,2,9,-9,-9,-9,,1
7899485,E12000007,H,2,1,2,8,2,2,1,5,1,2,8,2,12,-9,,1
7899600,E12000007,H,5,1,2,5,1,2,2,2,1,9,3,4,11,-9,,2
7899647,E12000007,H,1,1,2,2,1,1,2,1,4,2,4,9,8,-9,,2
7899211,E12000007,H,1,1,1,2,1,1,2,2,3,1,6,-9,-9,-9,,2
7898730,E12000007,H,5,1,2,2,1,1,1,3,1,2,6,-9,-9,-9,,2
7898530,E12000007,H,5,1,1,1,1,1,1,1,2,2,-9,-9,-9,-9,,-9
7898953,E12000007,H,2,1,2,1,1,1,1,1,1,2,-9,-9,-9,-9,,-9
7899031,E12000007,H,2,1,1,7,2,2,1,2,1,2,5,9,12,-9,,4
7899508,E12000007,H,2,1,2,5,2,2,1,2,1,2,7,3,7,-9,,1
7899554,E12000007,H,2,1,2,2,2,2,2,1,4,2,9,3,11,-9,,3
7899299,E12000007,H,1,1,2,8,5,2,2,3,1,9,9,-9,-9,-9,,4
7898702,E12000007,H,3,1,1,1,1,1,2,1,5,6,-9,-9,-9,-9,,-9
7898749,E12000007,H,1,1,1,6,1,2,1,5,1,1,8,5,2,-9,,4
7899908,E12000007,H,5,1,2,1,1,1,1,2,4,1,-9,-9,-9,-9,,-9
7898839,E12000007,H,2,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,,-9
7900029,E12000007,H,2,1,2,4,2,2,2,1,5,2,9,1,4,-9,,2
7899169,E12000007,H,1,1,1,2,1,1,2,3,3,1,6,-9,-9,-9,,2
7898727,E12000007,H,2,1,2,4,2,2,2,3,1,2,7,-9,-9,-9,,3
7898509,E12000007,H,2,1,2,2,1,1,2,1,3,2,6,7,4,-9,,2
7899783,E12000007,H,5,1,2,3,1,2,1,2,1,2,9,7,4,-9,,4
7899355,E12000007,H,2,1,2,4,2,2,2,3,1,6,7,-9,-9,-9,,4
7899412,E12000007,H,5,1,2,1,1,1,1,2,2,2,-9,-9,-9,-9,,-9
7899446,E12000007,H,2,1,1,7,2,2,2,2,1,9,5,1,7,-9,,2
7898850,E12000007,H,5,1,2,2,1,2,1,2,2,7,7,7,12,-9,,4
7898924,E12000007,H,2,1,2,2,1,1,1,1,1,1,6,-9,-9,-9,,2
7899751,E12000007,H,2,1,1,1,1,1,2,2,1,9,-9,-9,-9,-9,,-9
7898830,E12000007,H,2,1,2,8,2,2,2,3,1,5,9,4,8,-9,,2
7899060,E12000007,H,-9,2,2,2,1,1,-9,-9,-9,-9,-9,-9,-9,-9,,-9
7899597,E12000007,H,2,1,2,8,2,2,2,2,1,2,5,2,8,-9,,2
7899560,E12000007,H,5,1,1,1,1,2,1,1,4,6,-9,-9,-9,-9,,-9
7901201,E12000007,H,1,1,1,7,5,2,1,2,1,2,5,-9,-9,-9,,4
7901272,E12000007,H,2,1,2,2,1,2,1,2,1,2,6,7,4,-9,,2
7901230,E12000007,H,1,1,1,6,4,2,1,4,1,1,8,3,8,-9,,2
7901320,E12000007,H,2,1,1,1,1,2,1,1,1,2,-9,-9,-9,-9,,-9
7901576,E12000007,H,1,1,1,8,5,2,1,3,1,2,5,7,7,-9,,4
7901368,E12000007,H,3,1,1,5,1,2,1,3,1,2,7,8,8,-9,,4
7901228,E12000007,H,3,1,1,1,1,1,1,1,1,2,-9,-9,-9,-9,,-9
7901264,E12000007,H,2,1,2,1,1,1,1,2,1,2,-9,-9,-9,-9,,-9
7901590,E12000007,H,2,1,1,7,2,2,1,2,1,2,5,2,10,-9,,1
